Luxembourg, Death rates (period 1x10), 	Last modified: 06 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979       28             0.000620        0.001696        0.001182
1970-1979       29             0.000965        0.001561        0.001277
1970-1979       30             0.001099        0.001495        0.001306
1970-1979       31             0.001020        0.002091        0.001579
1970-1979       32             0.001285        0.001760        0.001532
1970-1979       33             0.000952        0.002177        0.001590
1970-1979       34             0.000914        0.002315        0.001643
1970-1979       35             0.001044        0.002445        0.001771
1970-1979       36             0.001224        0.002190        0.001724
1970-1979       37             0.001091        0.002928        0.002040
1970-1979       38             0.001527        0.002722        0.002144
1970-1979       39             0.001332        0.003434        0.002419
1970-1979       40             0.001700        0.003830        0.002802
1970-1979       41             0.002032        0.003963        0.003032
1970-1979       42             0.002437        0.004012        0.003253
1970-1979       43             0.002418        0.004560        0.003523
1970-1979       44             0.002739        0.005188        0.003995
1970-1979       45             0.003228        0.004749        0.004001
1970-1979       46             0.003134        0.005142        0.004141
1970-1979       47             0.003398        0.006562        0.004965
1970-1979       48             0.004017        0.007198        0.005571
1970-1979       49             0.004150        0.007310        0.005672
1970-1979       50             0.005323        0.007824        0.006513
1970-1979       51             0.004727        0.010230        0.007319
1970-1979       52             0.005990        0.009811        0.007771
1970-1979       53             0.005401        0.011590        0.008271
1970-1979       54             0.005620        0.013770        0.009397
1970-1979       55             0.006866        0.015872        0.011042
1970-1979       56             0.007698        0.016800        0.011941
1970-1979       57             0.008620        0.017833        0.012931
1970-1979       58             0.007791        0.019637        0.013353
1970-1979       59             0.008884        0.022411        0.015254
1970-1979       60             0.009659        0.023047        0.015961
1970-1979       61             0.011987        0.024508        0.017840
1970-1979       62             0.012518        0.028722        0.020024
1970-1979       63             0.015394        0.031072        0.022599
1970-1979       64             0.015758        0.035082        0.024541
1970-1979       65             0.018231        0.036453        0.026425
1970-1979       66             0.019110        0.040648        0.028712
1970-1979       67             0.023584        0.046260        0.033585
1970-1979       68             0.024639        0.049996        0.035704
1970-1979       69             0.026722        0.049196        0.036424
1970-1979       70             0.029932        0.057374        0.041621
1970-1979       71             0.033280        0.064033        0.046172
1970-1979       72             0.038782        0.072202        0.052558
1970-1979       73             0.043567        0.073262        0.055592
1970-1979       74             0.048485        0.087668        0.064047
1970-1979       75             0.053064        0.087449        0.066485
1970-1979       76             0.062777        0.094683        0.075029
1970-1979       77             0.072533        0.101970        0.083703
1970-1979       78             0.078183        0.105652        0.088501
1970-1979       79             0.089721        0.125553        0.102998
1970-1979       80             0.092802        0.131445        0.106880
1970-1979       81             0.109245        0.148392        0.123318
1970-1979       82             0.112471        0.164883        0.131072
1970-1979       83             0.133728        0.175548        0.148427
1970-1979       84             0.145696        0.195893        0.163161
1970-1979       85             0.163812        0.224324        0.184400
1970-1979       86             0.176190        0.202036        0.184896
1970-1979       87             0.204239        0.243001        0.217436
1970-1979       88             0.217198        0.242331        0.225829
1970-1979       89             0.242503        0.305819        0.264242
1970-1979       90             0.248775        0.300646        0.266329
1970-1979       91             0.304834        0.352938        0.320823
1970-1979       92             0.293138        0.324180        0.303275
1970-1979       93             0.326549        0.321510        0.324898
1970-1979       94             0.358551        0.317187        0.344350
1970-1979       95             0.359240        0.381099        0.367177
1970-1979       96             0.507199        0.469235        0.492916
1970-1979       97             0.303589        0.418320        0.347034
1970-1979       98             0.431250        0.449552        0.437993
1970-1979       99             0.548497        0.487613        0.525610
1970-1979      100             0.925211        1.428816        1.105538
1970-1979      101             1.604003        2.512315        1.808310
1970-1979      102             6.000000              .        6.000000
1970-1979      103                   .              .              .
1970-1979      104                   .              .              .
1970-1979      105                   .              .              .
1970-1979      106                   .              .              .
1970-1979      107                   .              .              .
1970-1979      108                   .              .              .
1970-1979      109                   .              .              .
1970-1979      110+                  .              .              .
1980-1989        0             0.009394        0.011707        0.010576
1980-1989        1             0.000670        0.000776        0.000724
1980-1989        2             0.000581        0.000505        0.000542
1980-1989        3             0.000391        0.000462        0.000428
1980-1989        4             0.000147        0.000418        0.000286
1980-1989        5             0.000292        0.000604        0.000452
1980-1989        6             0.000246        0.000420        0.000335
1980-1989        7             0.000198        0.000233        0.000216
1980-1989        8             0.000099        0.000372        0.000239
1980-1989        9             0.000197        0.000093        0.000143
1980-1989       10             0.000339        0.000228        0.000282
1980-1989       11             0.000142        0.000179        0.000161
1980-1989       12             0.000275        0.000175        0.000224
1980-1989       13             0.000090        0.000212        0.000153
1980-1989       14             0.000304        0.000826        0.000571
1980-1989       15             0.000126        0.000561        0.000348
1980-1989       16             0.000405        0.000774        0.000594
1980-1989       17             0.000276        0.000790        0.000538
1980-1989       18             0.000534        0.001767        0.001160
1980-1989       19             0.000812        0.001909        0.001367
1980-1989       20             0.000570        0.001549        0.001062
1980-1989       21             0.000590        0.001767        0.001178
1980-1989       22             0.000509        0.001567        0.001037
1980-1989       23             0.000500        0.001576        0.001036
1980-1989       24             0.000263        0.001321        0.000790
1980-1989       25             0.000457        0.001836        0.001144
1980-1989       26             0.000747        0.001674        0.001208
1980-1989       27             0.000845        0.001805        0.001322
1980-1989       28             0.000492        0.001766        0.001129
1980-1989       29             0.000662        0.001504        0.001085
1980-1989       30             0.000435        0.001049        0.000745
1980-1989       31             0.000711        0.001712        0.001218
1980-1989       32             0.000687        0.001159        0.000928
1980-1989       33             0.000630        0.001297        0.000972
1980-1989       34             0.000823        0.001673        0.001262
1980-1989       35             0.001105        0.001640        0.001382
1980-1989       36             0.000906        0.001806        0.001374
1980-1989       37             0.000810        0.002412        0.001644
1980-1989       38             0.001334        0.002163        0.001765
1980-1989       39             0.001404        0.002776        0.002117
1980-1989       40             0.001516        0.003183        0.002381
1980-1989       41             0.001576        0.002597        0.002103
1980-1989       42             0.002220        0.003594        0.002927
1980-1989       43             0.001664        0.003828        0.002775
1980-1989       44             0.002540        0.003065        0.002809
1980-1989       45             0.001893        0.004320        0.003133
1980-1989       46             0.002736        0.004388        0.003577
1980-1989       47             0.003183        0.005183        0.004199
1980-1989       48             0.002753        0.006504        0.004658
1980-1989       49             0.003358        0.006768        0.005088
1980-1989       50             0.004165        0.005929        0.005059
1980-1989       51             0.003912        0.007518        0.005741
1980-1989       52             0.004343        0.009329        0.006866
1980-1989       53             0.005235        0.009738        0.007500
1980-1989       54             0.004381        0.010540        0.007455
1980-1989       55             0.005038        0.012594        0.008770
1980-1989       56             0.006301        0.012967        0.009543
1980-1989       57             0.005787        0.013414        0.009434
1980-1989       58             0.007108        0.016624        0.011570
1980-1989       59             0.007513        0.016773        0.011773
1980-1989       60             0.009599        0.017985        0.013391
1980-1989       61             0.009536        0.019182        0.013820
1980-1989       62             0.009907        0.023568        0.015858
1980-1989       63             0.011054        0.025093        0.017088
1980-1989       64             0.011213        0.029086        0.018836
1980-1989       65             0.012363        0.031029        0.020301
1980-1989       66             0.014015        0.034493        0.022717
1980-1989       67             0.018861        0.035448        0.025886
1980-1989       68             0.018053        0.039181        0.026977
1980-1989       69             0.020044        0.042307        0.029406
1980-1989       70             0.023830        0.045900        0.033079
1980-1989       71             0.025175        0.049496        0.035261
1980-1989       72             0.029752        0.054362        0.039802
1980-1989       73             0.032443        0.062668        0.044558
1980-1989       74             0.035978        0.068005        0.048562
1980-1989       75             0.041447        0.079020        0.055915
1980-1989       76             0.046213        0.085844        0.061077
1980-1989       77             0.050284        0.090566        0.064991
1980-1989       78             0.060145        0.098044        0.073618
1980-1989       79             0.066864        0.114466        0.083261
1980-1989       80             0.080810        0.121700        0.094881
1980-1989       81             0.093919        0.134735        0.107684
1980-1989       82             0.098433        0.143756        0.113330
1980-1989       83             0.114490        0.151944        0.126456
1980-1989       84             0.124575        0.166418        0.137661
1980-1989       85             0.136152        0.182899        0.150486
1980-1989       86             0.159802        0.190872        0.169107
1980-1989       87             0.171281        0.200668        0.179870
1980-1989       88             0.192140        0.248826        0.208217
1980-1989       89             0.212555        0.249411        0.222693
1980-1989       90             0.263549        0.256583        0.261632
1980-1989       91             0.232725        0.273165        0.243994
1980-1989       92             0.301132        0.336030        0.310825
1980-1989       93             0.304807        0.325133        0.310415
1980-1989       94             0.300025        0.407046        0.328295
1980-1989       95             0.384469        0.688966        0.454839
1980-1989       96             0.354346        0.397461        0.363034
1980-1989       97             0.407282        0.477548        0.421415
1980-1989       98             0.503017        0.530869        0.508727
1980-1989       99             0.317601        0.657187        0.387759
1980-1989      100             0.777675        1.891110        0.936612
1980-1989      101             0.941866        6.000000        0.992828
1980-1989      102             1.423286              .        1.423286
1980-1989      103             3.159184              .        3.159184
1980-1989      104                   .              .              .
1980-1989      105                   .              .              .
1980-1989      106                   .              .              .
1980-1989      107                   .              .              .
1980-1989      108                   .              .              .
1980-1989      109                   .              .              .
1980-1989      110+                  .              .              .
1990-1999        0             0.006000        0.006093        0.006048
1990-1999        1             0.000384        0.000506        0.000447
1990-1999        2             0.000343        0.000613        0.000482
