Spain, Death rates (period 5x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959     25-29            0.001728        0.002339        0.002028
1950-1959     30-34            0.001934        0.002595        0.002253
1950-1959     35-39            0.002428        0.003229        0.002805
1950-1959     40-44            0.003127        0.004433        0.003742
1950-1959     45-49            0.004165        0.006403        0.005226
1950-1959     50-54            0.006093        0.010078        0.007968
1950-1959     55-59            0.008990        0.015432        0.011961
1950-1959     60-64            0.015315        0.024518        0.019446
1950-1959     65-69            0.025623        0.037829        0.030922
1950-1959     70-74            0.046383        0.062471        0.053135
1950-1959     75-79            0.077485        0.101034        0.086743
1950-1959     80-84            0.120632        0.151299        0.131543
1950-1959     85-89            0.185506        0.229355        0.199457
1950-1959     90-94            0.239613        0.285512        0.251822
1950-1959     95-99            0.363067        0.393440        0.369640
1950-1959    100-104           0.414897        0.342074        0.401381
1950-1959    105-109           0.400816        0.238576        0.361950
1950-1959    110+              0.359102        0.247171        0.333475
1960-1969        0             0.034674        0.044276        0.039593
1960-1969      1-4             0.001270        0.001478        0.001376
1960-1969      5-9             0.000448        0.000615        0.000533
1960-1969     10-14            0.000373        0.000520        0.000447
1960-1969     15-19            0.000448        0.000886        0.000670
1960-1969     20-24            0.000620        0.001192        0.000910
1960-1969     25-29            0.000884        0.001418        0.001149
1960-1969     30-34            0.001113        0.001703        0.001404
1960-1969     35-39            0.001501        0.002292        0.001890
1960-1969     40-44            0.002141        0.003368        0.002736
1960-1969     45-49            0.003171        0.005154        0.004107
1960-1969     50-54            0.004828        0.008234        0.006420
1960-1969     55-59            0.007220        0.013170        0.009995
1960-1969     60-64            0.012080        0.021735        0.016466
1960-1969     65-69            0.020585        0.034747        0.026762
1960-1969     70-74            0.037654        0.056484        0.045534
1960-1969     75-79            0.066068        0.090160        0.075611
1960-1969     80-84            0.109548        0.140268        0.120623
1960-1969     85-89            0.174359        0.213450        0.186781
1960-1969     90-94            0.244499        0.288947        0.256468
1960-1969     95-99            0.354888        0.412565        0.367633
1960-1969    100-104           0.441280        0.429162        0.438987
1960-1969    105-109           0.257760        0.103521        0.204746
1960-1969    110+              0.110636        0.056854        0.089169
1970-1979        0             0.017747        0.022662        0.020276
1970-1979      1-4             0.000743        0.000904        0.000826
1970-1979      5-9             0.000322        0.000465        0.000395
1970-1979     10-14            0.000271        0.000409        0.000341
