Japan, Death rates (period 5x10), 	Last modified: 05 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999     25-29            0.000328        0.000713        0.000524
1990-1999     30-34            0.000449        0.000825        0.000639
1990-1999     35-39            0.000638        0.001155        0.000899
1990-1999     40-44            0.001020        0.001836        0.001430
1990-1999     45-49            0.001605        0.003058        0.002332
1990-1999     50-54            0.002400        0.004917        0.003649
1990-1999     55-59            0.003488        0.007913        0.005661
1990-1999     60-64            0.005371        0.012817        0.008968
1990-1999     65-69            0.008559        0.019714        0.013702
1990-1999     70-74            0.014776        0.031141        0.021651
1990-1999     75-79            0.027879        0.053382        0.037730
1990-1999     80-84            0.054474        0.092807        0.068360
1990-1999     85-89            0.101827        0.152477        0.118221
1990-1999     90-94            0.178049        0.238015        0.194814
1990-1999     95-99            0.278421        0.346492        0.294450
1990-1999    100-104           0.403546        0.480061        0.418483
1990-1999    105-109           0.556143        0.636534        0.568497
1990-1999    110+              0.533030        0.461538        0.525458
2000-2009        0             0.002634        0.003018        0.002831
2000-2009      1-4             0.000229        0.000275        0.000252
2000-2009      5-9             0.000093        0.000123        0.000108
2000-2009     10-14            0.000078        0.000117        0.000098
2000-2009     15-19            0.000184        0.000387        0.000288
2000-2009     20-24            0.000278        0.000614        0.000450
2000-2009     25-29            0.000319        0.000662        0.000494
2000-2009     30-34            0.000415        0.000807        0.000614
2000-2009     35-39            0.000595        0.001109        0.000855
2000-2009     40-44            0.000879        0.001700        0.001294
2000-2009     45-49            0.001371        0.002724        0.002050
2000-2009     50-54            0.002133        0.004439        0.003284
2000-2009     55-59            0.002991        0.006854        0.004901
2000-2009     60-64            0.004242        0.010291        0.007188
2000-2009     65-69            0.006619        0.015907        0.011042
2000-2009     70-74            0.011184        0.026074        0.017999
2000-2009     75-79            0.020031        0.043360        0.029865
2000-2009     80-84            0.038559        0.075013        0.051652
2000-2009     85-89            0.075395        0.127942        0.091172
2000-2009     90-94            0.140000        0.207393        0.156935
2000-2009     95-99            0.234854        0.316232        0.250963
2000-2009    100-104           0.365152        0.454193        0.378573
2000-2009    105-109           0.505439        0.619092        0.517962
2000-2009    110+              0.693163        0.763268        0.700016
2010-2019        0             0.001986        0.002163        0.002077
2010-2019      1-4             0.000189        0.000207        0.000198
2010-2019      5-9             0.000076        0.000096        0.000086
2010-2019     10-14            0.000073        0.000104        0.000089
2010-2019     15-19            0.000145        0.000286        0.000217
2010-2019     20-24            0.000230        0.000533        0.000385
2010-2019     25-29            0.000278        0.000572        0.000428
2010-2019     30-34            0.000362        0.000665        0.000516
2010-2019     35-39            0.000509        0.000873        0.000694
2010-2019     40-44            0.000768        0.001306        0.001041
2010-2019     45-49            0.001191        0.002065        0.001633
2010-2019     50-54            0.001814        0.003379        0.002600
2010-2019     55-59            0.002581        0.005417        0.003994
2010-2019     60-64            0.003768        0.008827        0.006258
2010-2019     65-69            0.005643        0.013729        0.009543
2010-2019     70-74            0.009072        0.021408        0.014826
2010-2019     75-79            0.016395        0.035856        0.024996
2010-2019     80-84            0.032638        0.065052        0.045610
2010-2019     85-89            0.066464        0.116311        0.083119
2010-2019     90-94            0.131670        0.198156        0.148292
2010-2019     95-99            0.237863        0.320643        0.252535
2010-2019    100-104           0.388282        0.477500        0.399719
2010-2019    105-109           0.551840        0.659733        0.561355
2010-2019    110+              0.692564        0.803141        0.698682
2020-2021        0             0.001677        0.001854        0.001767
2020-2021      1-4             0.000119        0.000144        0.000132
2020-2021      5-9             0.000060        0.000067        0.000064
2020-2021     10-14            0.000073        0.000090        0.000082
2020-2021     15-19            0.000164        0.000274        0.000221
2020-2021     20-24            0.000248        0.000486        0.000369
2020-2021     25-29            0.000266        0.000498        0.000384
2020-2021     30-34            0.000317        0.000589        0.000456
2020-2021     35-39            0.000447        0.000758        0.000605
2020-2021     40-44            0.000694        0.001115        0.000908
2020-2021     45-49            0.001077        0.001806        0.001447
2020-2021     50-54            0.001683        0.002965        0.002330
2020-2021     55-59            0.002360        0.004813        0.003589
2020-2021     60-64            0.003351        0.007680        0.005494
2020-2021     65-69            0.005196        0.012660        0.008823
2020-2021     70-74            0.008391        0.020399        0.014058
2020-2021     75-79            0.014937        0.033570        0.023244
2020-2021     80-84            0.028877        0.057438        0.040701
2020-2021     85-89            0.059585        0.104735        0.075662
2020-2021     90-94            0.121691        0.183705        0.138982
2020-2021     95-99            0.221772        0.294763        0.235536
2020-2021    100-104           0.364799        0.449671        0.375054
2020-2021    105-109           0.529822        0.611587        0.536481
2020-2021    110+              0.657233        1.690590        0.687573
