The United States of America, Death rates (period 5x10), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1980-1989     25-29            0.000640        0.001779        0.001210
1980-1989     30-34            0.000815        0.002013        0.001410
1980-1989     35-39            0.001145        0.002470        0.001799
1980-1989     40-44            0.001777        0.003377        0.002563
1980-1989     45-49            0.002899        0.005245        0.004045
1980-1989     50-54            0.004691        0.008519        0.006540
1980-1989     55-59            0.007260        0.013542        0.010237
1980-1989     60-64            0.011195        0.020843        0.015669
1980-1989     65-69            0.016705        0.031278        0.023216
1980-1989     70-74            0.025859        0.047839        0.035114
1980-1989     75-79            0.040400        0.070868        0.052193
1980-1989     80-84            0.068441        0.109525        0.082507
1980-1989     85-89            0.113915        0.163569        0.128700
1980-1989     90-94            0.183396        0.238747        0.197655
1980-1989     95-99            0.277980        0.338513        0.291532
1980-1989    100-104           0.379527        0.423332        0.388309
1980-1989    105-109           0.433482        0.428889        0.432503
1980-1989    110+              0.450625        0.414407        0.439796
1990-1999        0             0.007385        0.009100        0.008263
1990-1999      1-4             0.000365        0.000450        0.000408
1990-1999      5-9             0.000168        0.000220        0.000195
1990-1999     10-14            0.000182        0.000292        0.000238
1990-1999     15-19            0.000438        0.001142        0.000799
1990-1999     20-24            0.000492        0.001537        0.001024
1990-1999     25-29            0.000601        0.001602        0.001105
1990-1999     30-34            0.000827        0.002027        0.001428
1990-1999     35-39            0.001180        0.002592        0.001883
1990-1999     40-44            0.001690        0.003434        0.002552
1990-1999     45-49            0.002553        0.004731        0.003623
1990-1999     50-54            0.004024        0.006930        0.005441
1990-1999     55-59            0.006467        0.010943        0.008619
1990-1999     60-64            0.010274        0.017436        0.013647
1990-1999     65-69            0.015633        0.026542        0.020584
1990-1999     70-74            0.024206        0.040287        0.031171
1990-1999     75-79            0.037630        0.060951        0.047013
1990-1999     80-84            0.064332        0.100061        0.077000
1990-1999     85-89            0.108287        0.156085        0.122527
1990-1999     90-94            0.180494        0.237955        0.194345
1990-1999     95-99            0.283608        0.349407        0.296223
1990-1999    100-104           0.410341        0.476272        0.420559
1990-1999    105-109           0.522147        0.513354        0.520827
1990-1999    110+              0.521519        0.663567        0.546354
2000-2009        0             0.006260        0.007667        0.006979
2000-2009      1-4             0.000270        0.000337        0.000304
2000-2009      5-9             0.000129        0.000158        0.000143
2000-2009     10-14            0.000143        0.000209        0.000177
2000-2009     15-19            0.000365        0.000869        0.000624
